video_title,comment_text,is_sarcastic
Adobe After Effects vs Apple Motion,"Haha, Wow, user interface hidden need map find timeline. brave.",1
Monsoon arrives in Namma Bengaluru,"Haha, Ah yes, paying premium flight sit tarmac 2 hours.",1
Color Grading in Pixelmator Pro,"Haha, Wow, user interface hidden need map find timeline....",1
Best FxPlug Plugins for Creators,"Brilliant. Oh good, another subscription model drain bank account.",1
Taking a flight from Patna to Bengaluru,Thanks! metro extension really helping commute. Thanks sharing.,0
Best street food in Bengaluru,"Wow, affordable! sell one kidney deposit.",1
Best FxPlug Plugins for Creators,Brilliant. Rendering 4K video took 3 days. Blazing fast.,1
Adobe After Effects vs Apple Motion,love software crashes right hit save. Adds excitement.,1
Best street food in Bengaluru,"Wow, love potholes practically historical landmarks Incredible.",1
A day in the life of an MCA student at Presidency University,"Honestly, moving next month, informative.",0
A day in the life of an MCA student at Presidency University,"Haha, auto driver asked 500 rupees cross street. Fair price. brave.",1
Why Python is the absolute fastest language,"agree, concise point. Subscribed.",0
Building a mechanical keyboard from scratch,"Wow, Oh wow, paying ₹1.5 Lakhs 8GB RAM truly revolutionary....",1
Final Cut Pro 2026 Full Tutorial,"Oh, Oh good, another subscription model drain bank account. needed.",1
Taking a flight from Patna to Bengaluru,"Haha, enjoy swimming campus every July. Incredible.",1
Is Web3 the future of the internet?,Brilliant. Next sell us screen keyboard separately.,1
Bengaluru Traffic Timelapse (Silk Board),"Thanks! moving next month, informative. Thanks sharing.",0
Best street food in Bengaluru,"Truly, Nothing like 2-hour commute 5km distance build character. Masterpiece.",1
Color Grading in Pixelmator Pro,"Wow, Wow, user interface hidden need map find timeline. Incredible.",1
Best FxPlug Plugins for Creators,"Great video. Thanks deep dive Apple Motion, underrated software.",0
Why Python is the absolute fastest language,"Ah yes, Amazing. invented statement. needed.",1
Best street food in Bengaluru,"Honestly, really miss weather Enjoy",0
Final Cut Pro 2026 Full Tutorial,"agree, transition pack actually looks clean professional.",0
Color Grading in Pixelmator Pro,Brilliant. favorite feature eats 64GB RAM instantly.,1
Using Light Theme in VS Code,Awesome. think Java still holds incredibly well large enterprise systems. Thanks sharing.,0
DIY Autonomous Car with LiDAR Sensor,"Good thorough review, especially thermal testing.",0
Is Web3 the future of the internet?,Great video. switches use? sound really smooth.,0
Taking a flight from Patna to Bengaluru,"Lmao, Wow, think saw car move three entire inches hour. Thrilling pace. Incredible.",1
Taking a flight from Patna to Bengaluru,"Oh, love potholes practically historical landmarks Masterpiece.",1
Building a mechanical keyboard from scratch,"Truly, definitely want pay $40 gas fee like tweet. Sign",1
Adobe After Effects vs Apple Motion,"looking tutorial writing custom FxPlug plugins, thank helpful.",0
DIY Autonomous Car with LiDAR Sensor,Awesome. using week battery life insane.,0
Bengaluru Traffic Timelapse (Silk Board),"Lmao, enjoy swimming campus every July.",1
The new 8GB RAM MacBook Pro in 2026,Awesome. upgraded processing power makes perfect autonomous drone project.,0
Adobe After Effects vs Apple Motion,"agree, Pixelmator Pro seriously giving Adobe run money.",0
Final Cut Pro 2026 Full Tutorial,Thanks! audio mixing tips end lifesaver. helpful.,0
Understanding Pointers in C,tutorial fixed marriage....,1
Color Grading in Pixelmator Pro,"Truly, Rendering 4K video took 3 days. Blazing fast.",1
Building a mechanical keyboard from scratch,"Oh, Can't wait buy charger separately another $200....",1
Java vs C++ for Competitive Programming,"agree, concise point. Subscribed. helpful.",0
Java vs C++ for Competitive Programming,Great video. concise point. Subscribed.,0
Learning PHP in 2026,Great video. prefer using Docker method works great Thanks sharing.,0
Why Python is the absolute fastest language,"Wow, Finally got environment running. Appreciate clear step-by-step instructions. Keep",0
The new 8GB RAM MacBook Pro in 2026,"Truly, Next sell us screen keyboard separately. Incredible.",1
Building a Flask API for my Assignment Tracker,"agree, straightforward explanation ever seen.",0
Building a Flask API for my Assignment Tracker,"Honestly, know shortcut, helpful.",0
Final Cut Pro 2026 Full Tutorial,"Ah yes, Ah, paying $50 plugin shakes screen. Worth",1
Apple announces new $999 Monitor Stand,"Oh, Wow, 1% faster last year. Innovation peaked. Incredible.",1
Monsoon arrives in Namma Bengaluru,paneer butter masala last spot looked amazing. Definitely visiting next time.,0
Understanding Pointers in C,"Lmao, Wow, fast! took 3 hours print Hello World. Masterpiece.",1
Using Light Theme in VS Code,Sure buddy. Queen England. brave.,1
A day in the life of an MCA student at Presidency University,"Oh, 40k rent broom closet? steal!",1
How to center a div in CSS,Great video. prefer using Docker method works great helpful.,0
Using Light Theme in VS Code,"Truly, copy-pasted computer caught fire. Thanks!",1
Adobe After Effects vs Apple Motion,Great video. Pixelmator Pro seriously giving Adobe run money.,0
Monsoon arrives in Namma Bengaluru,"agree, Beautiful shots Cubbon Park. green!",0
Bengaluru Traffic Timelapse (Silk Board),"Truly, 40k rent broom closet? steal!",1
Using Light Theme in VS Code,Great video. Finally got environment running. Appreciate clear step-by-step instructions. Thanks sharing.,0
Is Web3 the future of the internet?,Thanks! Great camera test! low light performance impressive.,0
Understanding Pointers in C,"Ah yes, Oh, absolutely. love measuring execution time calendar.",1
The new 8GB RAM MacBook Pro in 2026,"Wow, think worth upgrade coming older model.",0
I Built a Machine Learning Model in 5 Minutes,"agree, Thanks visual diagram, really helped understand pointers swap.",0
Reviewing the new Raspberry Pi 6,"Brilliant. Oh wow, paying ₹1.5 Lakhs 8GB RAM truly revolutionary. brave.",1
Final Cut Pro 2026 Full Tutorial,"Wow, Pixelmator Pro seriously giving Adobe run money. Keep",0
Color Grading in Pixelmator Pro,"Ah yes, Wow, user interface hidden need map find timeline....",1
A day in the life of an MCA student at Presidency University,"Truly, Nothing like 2-hour commute 5km distance build character. brave.",1
Final Cut Pro 2026 Full Tutorial,"Ah yes, Oh good, another subscription model drain bank account....",1
Reviewing the new Raspberry Pi 6,"Truly, Finally, reasonably priced piece metal. desk feeling cheap. brave.",1
Monsoon arrives in Namma Bengaluru,"Honestly, metro extension really helping commute. Keep",0
The new 8GB RAM MacBook Pro in 2026,Can't wait buy charger separately another $200.,1
Adobe After Effects vs Apple Motion,magnetic timeline FCP makes editing much faster workflow. helpful.,0
My Code Compiled on the First Try!,"saved hours debugging MCA assignment, thank much! Keep",0
My Code Compiled on the First Try!,Brilliant. nothing says 'relaxing weekend' like catastrophic database failure. Incredible.,1
Understanding Pointers in C,"Truly, nothing says 'relaxing weekend' like catastrophic database failure.",1
Building a mechanical keyboard from scratch,Great video. using week battery life insane.,0
Is Web3 the future of the internet?,Awesome. think worth upgrade coming older model.,0
Understanding Pointers in C,"Truly, Oh, absolutely. love measuring execution time calendar. Masterpiece.",1
Taking a flight from Patna to Bengaluru,"Wow, biryani ordered looks fantastic. Thanks sharing.",0
A day in the life of an MCA student at Presidency University,"Ah, Venice India. Time get gondola brave.",1
Color Grading in Pixelmator Pro,Awesome. audio mixing tips end lifesaver.,0
Best street food in Bengaluru,"Lmao, Wow, think saw car move three entire inches hour. Thrilling pace. brave.",1
DIY Autonomous Car with LiDAR Sensor,Awesome. think worth upgrade coming older model.,0
Final Cut Pro 2026 Full Tutorial,Awesome. new color grading tools massive step last year.,0
Final Cut Pro 2026 Full Tutorial,Awesome. magnetic timeline FCP makes editing much faster workflow.,0
Is Web3 the future of the internet?,"Wow, Good thorough review, especially thermal testing.",0
Learning PHP in 2026,Brilliant. tutorial fixed marriage.,1
My Code Compiled on the First Try!,"Lmao, Amazing. invented statement.",1
Renting a 1BHK in Indiranagar 2026,Brilliant. love potholes practically historical landmarks,1
Final Cut Pro 2026 Full Tutorial,"Haha, Wow, user interface hidden need map find timeline.",1
