video_title,comment_text,is_sarcastic
Adobe After Effects vs Apple Motion,"Haha, Wow, the user interface is so hidden I need a map to find the timeline. So brave.",1
Monsoon arrives in Namma Bengaluru,"Haha, Ah yes, paying for a premium flight just to sit on the tarmac for 2 hours. 🙄",1
Color Grading in Pixelmator Pro,"Haha, Wow, the user interface is so hidden I need a map to find the timeline....",1
Best FxPlug Plugins for Creators,"Brilliant. Oh good, another subscription model to drain my bank account. 🙄",1
Taking a flight from Patna to Bengaluru,Thanks! The metro extension is really helping with the commute. Thanks for sharing.,0
Best street food in Bengaluru,"Wow, So affordable! I only had to sell one kidney for the deposit. 🙄",1
Best FxPlug Plugins for Creators,Brilliant. Rendering this 4K video only took 3 days. Blazing fast. 🙄,1
Adobe After Effects vs Apple Motion,I love it when the software crashes right before I hit save. Adds excitement. 🙄,1
Best street food in Bengaluru,"Wow, I love how the potholes are practically historical landmarks now. Incredible.",1
A day in the life of an MCA student at Presidency University,"Honestly, I'm moving there next month, this was very informative.",0
A day in the life of an MCA student at Presidency University,"Haha, The auto driver asked for 500 rupees to cross the street. Fair price. So brave.",1
Why Python is the absolute fastest language,"I agree, Very concise and to the point. Subscribed. 🙏",0
Building a mechanical keyboard from scratch,"Wow, Oh wow, paying ₹1.5 Lakhs for 8GB RAM is truly revolutionary....",1
Final Cut Pro 2026 Full Tutorial,"Oh, Oh good, another subscription model to drain my bank account. Just what I needed.",1
Taking a flight from Patna to Bengaluru,"Haha, I enjoy swimming to the campus every July. Incredible.",1
Is Web3 the future of the internet?,Brilliant. Next they will sell us the screen and keyboard separately. 🙄,1
Bengaluru Traffic Timelapse (Silk Board),"Thanks! I'm moving there next month, this was very informative. Thanks for sharing.",0
Best street food in Bengaluru,"Truly, Nothing like a 2-hour commute for a 5km distance to build character. Masterpiece.",1
Color Grading in Pixelmator Pro,"Wow, Wow, the user interface is so hidden I need a map to find the timeline. Incredible.",1
Best FxPlug Plugins for Creators,"Great video. Thanks for the deep dive into Apple Motion, very underrated software. 🔥",0
Why Python is the absolute fastest language,"Ah yes, Amazing. You just invented the `if` statement. Just what I needed.",1
Best street food in Bengaluru,"Honestly, I really miss the weather there. Enjoy it! 🙏",0
Final Cut Pro 2026 Full Tutorial,"I agree, This transition pack actually looks very clean and professional. 🙏",0
Color Grading in Pixelmator Pro,Brilliant. My favorite feature is how it eats 64GB of RAM instantly. 🙄,1
Using Light Theme in VS Code,Awesome. I think Java still holds up incredibly well for large enterprise systems. Thanks for sharing.,0
DIY Autonomous Car with LiDAR Sensor,"Good thorough review, especially the thermal testing. 👍",0
Is Web3 the future of the internet?,Great video. What switches did you use? They sound really smooth. 🔥,0
Taking a flight from Patna to Bengaluru,"Lmao, Wow, I think I saw a car move three entire inches in that hour. Thrilling pace. Incredible.",1
Taking a flight from Patna to Bengaluru,"Oh, I love how the potholes are practically historical landmarks now. Masterpiece.",1
Building a mechanical keyboard from scratch,"Truly, I definitely want to pay a $40 gas fee just to like a tweet. Sign me up. 🤡",1
Adobe After Effects vs Apple Motion,"I've been looking for a tutorial on writing custom FxPlug plugins, thank you! Very helpful.",0
DIY Autonomous Car with LiDAR Sensor,Awesome. I've been using it for a week and the battery life is insane. 🔥,0
Bengaluru Traffic Timelapse (Silk Board),"Lmao, I enjoy swimming to the campus every July.",1
The new 8GB RAM MacBook Pro in 2026,Awesome. The upgraded processing power makes it perfect for my autonomous drone project.,0
Adobe After Effects vs Apple Motion,"I agree, Pixelmator Pro is seriously giving Adobe a run for their money. 🔥",0
Final Cut Pro 2026 Full Tutorial,Thanks! Your audio mixing tips at the end were a lifesaver. Very helpful.,0
Understanding Pointers in C,This tutorial fixed my marriage....,1
Color Grading in Pixelmator Pro,"Truly, Rendering this 4K video only took 3 days. Blazing fast. 🙃",1
Building a mechanical keyboard from scratch,"Oh, Can't wait to buy the charger separately for another $200....",1
Java vs C++ for Competitive Programming,"I agree, Very concise and to the point. Subscribed. Very helpful.",0
Java vs C++ for Competitive Programming,Great video. Very concise and to the point. Subscribed.,0
Learning PHP in 2026,"Great video. I prefer using Docker for this, but your method works great too. Thanks for sharing.",0
Why Python is the absolute fastest language,"Wow, Finally got my environment running. Appreciate the clear step-by-step instructions. Keep it up!",0
The new 8GB RAM MacBook Pro in 2026,"Truly, Next they will sell us the screen and keyboard separately. Incredible.",1
Building a Flask API for my Assignment Tracker,"I agree, This is the most straightforward explanation I have ever seen. 🙏",0
Building a Flask API for my Assignment Tracker,"Honestly, I didn't know about that shortcut, very helpful. 🔥",0
Final Cut Pro 2026 Full Tutorial,"Ah yes, Ah, paying $50 for a plugin that just shakes the screen. Worth it. 🤡",1
Apple announces new $999 Monitor Stand,"Oh, Wow, it's 1% faster than last year. Innovation has peaked. Incredible.",1
Monsoon arrives in Namma Bengaluru,The paneer butter masala at that last spot looked amazing. Definitely visiting next time.,0
Understanding Pointers in C,"Lmao, Wow, so fast! It only took 3 hours to print Hello World. Masterpiece.",1
Using Light Theme in VS Code,"Sure it did, buddy. And I am the Queen of England. So brave.",1
A day in the life of an MCA student at Presidency University,"Oh, Only 40k rent for a broom closet? What a steal!",1
How to center a div in CSS,"Great video. I prefer using Docker for this, but your method works great too. Very helpful.",0
Using Light Theme in VS Code,"Truly, I copy-pasted this and my computer caught fire. Thanks! 🤡",1
Adobe After Effects vs Apple Motion,Great video. Pixelmator Pro is seriously giving Adobe a run for their money. 👍,0
Monsoon arrives in Namma Bengaluru,"I agree, Beautiful shots of Cubbon Park. So green! 🔥",0
Bengaluru Traffic Timelapse (Silk Board),"Truly, Only 40k rent for a broom closet? What a steal!",1
Using Light Theme in VS Code,Great video. Finally got my environment running. Appreciate the clear step-by-step instructions. Thanks for sharing.,0
Is Web3 the future of the internet?,Thanks! Great camera test! The low light performance is impressive. 🙏,0
Understanding Pointers in C,"Ah yes, Oh, absolutely. I love measuring my execution time with a calendar. 🤡",1
The new 8GB RAM MacBook Pro in 2026,"Wow, I think it's worth the upgrade if you are coming from an older model. 🔥",0
I Built a Machine Learning Model in 5 Minutes,"I agree, Thanks for the visual diagram, it really helped me understand how the pointers swap. 👍",0
Reviewing the new Raspberry Pi 6,"Brilliant. Oh wow, paying ₹1.5 Lakhs for 8GB RAM is truly revolutionary. So brave.",1
Final Cut Pro 2026 Full Tutorial,"Wow, Pixelmator Pro is seriously giving Adobe a run for their money. Keep it up!",0
Color Grading in Pixelmator Pro,"Ah yes, Wow, the user interface is so hidden I need a map to find the timeline....",1
A day in the life of an MCA student at Presidency University,"Truly, Nothing like a 2-hour commute for a 5km distance to build character. So brave.",1
Final Cut Pro 2026 Full Tutorial,"Ah yes, Oh good, another subscription model to drain my bank account....",1
Reviewing the new Raspberry Pi 6,"Truly, Finally, a reasonably priced piece of metal. My desk was feeling too cheap. So brave.",1
Monsoon arrives in Namma Bengaluru,"Honestly, The metro extension is really helping with the commute. Keep it up!",0
The new 8GB RAM MacBook Pro in 2026,Can't wait to buy the charger separately for another $200. 🤡,1
Adobe After Effects vs Apple Motion,The magnetic timeline in FCP makes editing so much faster for my workflow. Very helpful.,0
My Code Compiled on the First Try!,"This saved me hours of debugging my MCA assignment, thank you so much! Keep it up!",0
My Code Compiled on the First Try!,Brilliant. Because nothing says 'relaxing weekend' like a catastrophic database failure. Incredible.,1
Understanding Pointers in C,"Truly, Because nothing says 'relaxing weekend' like a catastrophic database failure. 🤡",1
Building a mechanical keyboard from scratch,Great video. I've been using it for a week and the battery life is insane. 👍,0
Is Web3 the future of the internet?,Awesome. I think it's worth the upgrade if you are coming from an older model.,0
Understanding Pointers in C,"Truly, Oh, absolutely. I love measuring my execution time with a calendar. Masterpiece.",1
Taking a flight from Patna to Bengaluru,"Wow, The biryani you ordered looks fantastic. Thanks for sharing.",0
A day in the life of an MCA student at Presidency University,"Ah, the Venice of India. Time to get my gondola out. So brave.",1
Color Grading in Pixelmator Pro,Awesome. Your audio mixing tips at the end were a lifesaver. 🙏,0
Best street food in Bengaluru,"Lmao, Wow, I think I saw a car move three entire inches in that hour. Thrilling pace. So brave.",1
DIY Autonomous Car with LiDAR Sensor,Awesome. I think it's worth the upgrade if you are coming from an older model. 🙏,0
Final Cut Pro 2026 Full Tutorial,Awesome. The new color grading tools are a massive step up from last year. 🙏,0
Final Cut Pro 2026 Full Tutorial,Awesome. The magnetic timeline in FCP makes editing so much faster for my workflow. 🙏,0
Is Web3 the future of the internet?,"Wow, Good thorough review, especially the thermal testing. 🙏",0
Learning PHP in 2026,Brilliant. This tutorial fixed my marriage.,1
My Code Compiled on the First Try!,"Lmao, Amazing. You just invented the `if` statement. 🤡",1
Renting a 1BHK in Indiranagar 2026,Brilliant. I love how the potholes are practically historical landmarks now. 🙄,1
Final Cut Pro 2026 Full Tutorial,"Haha, Wow, the user interface is so hidden I need a map to find the timeline. 🤡",1
Deploying to Production on Friday at 5 PM,"Wow, Finally got my environment running. Appreciate the clear step-by-step instructions. Keep it up!",0
Java vs C++ for Competitive Programming,Great video. Great perspective. Focusing only on what you can control is essential. 🙏,0
A day in the life of an MCA student at Presidency University,Thanks! Love the local culture and vibe of this city.,0
Best FxPlug Plugins for Creators,Brilliant. My favorite feature is how it eats 64GB of RAM instantly. Just what I needed.,1
Color Grading in Pixelmator Pro,"Honestly, Pixelmator Pro is seriously giving Adobe a run for their money. Very helpful.",0
Is Web3 the future of the internet?,"Brilliant. Finally, a reasonably priced piece of metal. My desk was feeling too cheap.",1
Monsoon arrives in Namma Bengaluru,"Wow, The biryani you ordered looks fantastic. Very helpful.",0
Final Cut Pro 2026 Full Tutorial,Brilliant. Rendering this 4K video only took 3 days. Blazing fast. 🤡,1
Learning PHP in 2026,Great video. Great perspective. Focusing only on what you can control is essential. 👍,0
Learning PHP in 2026,"Great video. Thanks for the visual diagram, it really helped me understand how the pointers swap. Very helpful.",0
Understanding Pointers in C,"Wow, Ah yes, the most unsolved problem in modern physics. Incredible.",1
Renting a 1BHK in Indiranagar 2026,"Lmao, Ah, the Venice of India. Time to get my gondola out. Just what I needed.",1
Monsoon arrives in Namma Bengaluru,Great video. I really miss the weather there. Enjoy it! Keep it up!,0
Using Light Theme in VS Code,"Truly, Because nothing says 'relaxing weekend' like a catastrophic database failure. 🤡",1
Color Grading in Pixelmator Pro,Awesome. The new color grading tools are a massive step up from last year.,0
Color Grading in Pixelmator Pro,"Wow, Wow, the user interface is so hidden I need a map to find the timeline. Incredible.",1
Final Cut Pro 2026 Full Tutorial,"Wow, Rendering this 4K video only took 3 days. Blazing fast. Masterpiece.",1
Renting a 1BHK in Indiranagar 2026,"Truly, Only 40k rent for a broom closet? What a steal! 🙄",1
Using Light Theme in VS Code,"Brilliant. Yes, and my HTML code is self-aware now. 🙃",1
Java vs C++ for Competitive Programming,"Wow, I prefer using Docker for this, but your method works great too. 👍",0
Why Python is the absolute fastest language,"Lmao, I copy-pasted this and my computer caught fire. Thanks! Masterpiece.",1
Monsoon arrives in Namma Bengaluru,"Oh, Nothing like a 2-hour commute for a 5km distance to build character. Masterpiece.",1
The new 8GB RAM MacBook Pro in 2026,"Lmao, Ah yes, exactly what I needed: another proprietary port. 🤡",1
Taking a flight from Patna to Bengaluru,"Haha, Wow, I think I saw a car move three entire inches in that hour. Thrilling pace. 🤡",1
Java vs C++ for Competitive Programming,"Truly, Ah yes, the most unsolved problem in modern physics. Masterpiece.",1
Monsoon arrives in Namma Bengaluru,Great video. Great vlog! Brings back memories from my college days. 🔥,0
Adobe After Effects vs Apple Motion,"I've been looking for a tutorial on writing custom FxPlug plugins, thank you! Keep it up!",0
Building a Flask API for my Assignment Tracker,"Honestly, Thanks for the visual diagram, it really helped me understand how the pointers swap. 🔥",0
Deploying to Production on Friday at 5 PM,"Haha, Because nothing says 'relaxing weekend' like a catastrophic database failure. 🙃",1
Deploying to Production on Friday at 5 PM,"Wow, so fast! It only took 3 hours to print Hello World. 🤡",1
How to center a div in CSS,"Thanks! I prefer using Docker for this, but your method works great too.",0
Color Grading in Pixelmator Pro,"Lmao, I love it when the software crashes right before I hit save. Adds excitement. 🙄",1
Apple announces new $999 Monitor Stand,The upgraded processing power makes it perfect for my autonomous drone project.,0
How to center a div in CSS,"Ah yes, Oh, absolutely. I love measuring my execution time with a calendar....",1
Java vs C++ for Competitive Programming,Awesome. I think Java still holds up incredibly well for large enterprise systems. 🙏,0
Monsoon arrives in Namma Bengaluru,"Honestly, The paneer butter masala at that last spot looked amazing. Definitely visiting next time. Thanks for sharing.",0
Why Python is the absolute fastest language,"Lmao, I'm sure the memory leaks are just 'undocumented features'.",1
Best FxPlug Plugins for Creators,"Oh, Rendering this 4K video only took 3 days. Blazing fast. 🙄",1
Best FxPlug Plugins for Creators,"Wow, Thanks for the deep dive into Apple Motion, very underrated software. 👍",0
Renting a 1BHK in Indiranagar 2026,"Truly, The auto driver asked for 500 rupees to cross the street. Fair price. Incredible.",1
Adobe After Effects vs Apple Motion,"Haha, Wow, the user interface is so hidden I need a map to find the timeline. 🙃",1
My Code Compiled on the First Try!,"Haha, Because nothing says 'relaxing weekend' like a catastrophic database failure. 🤡",1
DIY Autonomous Car with LiDAR Sensor,"Haha, I love replacing my entire motherboard just to upgrade the storage. Incredible.",1
Best street food in Bengaluru,Thanks! I really miss the weather there. Enjoy it! Keep it up!,0
Renting a 1BHK in Indiranagar 2026,"Wow, I think I saw a car move three entire inches in that hour. Thrilling pace....",1
Final Cut Pro 2026 Full Tutorial,"Truly, Yes, because I definitely needed 400 new transition wipes. 🤡",1
Building a mechanical keyboard from scratch,Awesome. What switches did you use? They sound really smooth. Very helpful.,0
DIY Autonomous Car with LiDAR Sensor,I think it's worth the upgrade if you are coming from an older model. 🔥,0
The new 8GB RAM MacBook Pro in 2026,Great video. Great camera test! The low light performance is impressive.,0
Best FxPlug Plugins for Creators,"Wow, The magnetic timeline in FCP makes editing so much faster for my workflow. Thanks for sharing.",0
Java vs C++ for Competitive Programming,"Honestly, Thanks for the visual diagram, it really helped me understand how the pointers swap. 👍",0
Renting a 1BHK in Indiranagar 2026,"Wow, The metro extension is really helping with the commute. 🔥",0
Reviewing the new Raspberry Pi 6,Great video. I think it's worth the upgrade if you are coming from an older model. 🙏,0
Best FxPlug Plugins for Creators,"Truly, Oh good, another subscription model to drain my bank account. 🙄",1
Taking a flight from Patna to Bengaluru,Awesome. Love the local culture and vibe of this city. 🔥,0
DIY Autonomous Car with LiDAR Sensor,"Ah yes, I definitely want to pay a $40 gas fee just to like a tweet. Sign me up. Masterpiece.",1
Adobe After Effects vs Apple Motion,"Yes, because I definitely needed 400 new transition wipes. 🤡",1
Why Python is the absolute fastest language,"Ah yes, the most unsolved problem in modern physics. 🙃",1
